label,name,notice,furigana
燃えるごみ,生ごみ,,主な物
燃えるごみ,紙くず,,主な物
燃えるごみ,木くず,,主な物
燃えるごみ,プラスチック製品,,主な物
燃えるごみ,ゴム製品、皮革製品　等,,主な物
燃えるごみ,油粘土,紙粘土は「燃えないごみ」へ。,あ
燃えるごみ,アルミホイル,,あ
燃えるごみ,おもちゃ類（木製、プラスチック製）,金属部が多量の場合は「燃えないごみ」へ。,あ
燃えるごみ,カーテン（布）,耐火カーテンは「燃えないごみ」へ。,か
燃えるごみ,カーペット,電気カーペットは「燃えないごみ」へ。,か
燃えるごみ,貝殻,,か
燃えるごみ,カイロ（使い捨て）,,か
燃えるごみ,菓子袋,,か
燃えるごみ,カセットテープ,,か
燃えるごみ,かばん（ランドセル含む）,金属部が多量の場合は「燃えないごみ」へ。,か
燃えるごみ,紙おむつ,汚物は取り除いてください。,か
燃えるごみ,髪の毛,,か
燃えるごみ,乾燥剤,水に濡れないような工夫をして出してください。,か
燃えるごみ,クーラーボックス,指定袋に入らないものは「粗大ごみ」へ。,か
燃えるごみ,草,多量の場合は、佐賀市清掃工場（℡0952-30-2430）へご相談ください。,か
燃えるごみ,靴（運動靴を含む）,金属部が多い安全靴などは「燃えないごみ」へ。,か
燃えるごみ,毛糸,,か
燃えるごみ,ござ,,か
燃えるごみ,ゴルフボール,,か
燃えるごみ,座布団,,さ
燃えるごみ,CD（DVD、MDも同様）,,さ
燃えるごみ,磁気カード（テレフォンカード等）,,さ
燃えるごみ,漆器製食器,,さ
燃えるごみ,湿布剤,,さ
燃えるごみ,しめ縄,,さ
燃えるごみ,シャンプー等の容器,,さ
燃えるごみ,じゅうたん,,さ
燃えるごみ,ストッキング,,さ
燃えるごみ,スポンジ,,さ
燃えるごみ,炭,,さ
燃えるごみ,墨（固形物）,,さ
燃えるごみ,石けん（固形物）,,さ
燃えるごみ,剪定くず,直径が10cm以内のものは、40cm×30cm以内の規格に束ね、指定袋（大）を巻いてごみステーションに出すことができます。,さ
